ProductName,Stars,Ratings,Reviews,CurrentPrice,MRP,Processor,Ram,Storage
Infinix X1 Slim Series Core i3 10th Gen,4.2,4082,541,29990,49999,Intel Core i3 Processor (10th Gen),8 GB LPDDR4X RAM,256 GB SSD
DELL Core i9 12th Gen,0,0,0,151990,197449,Intel Core i9 Processor (12th Gen),16 GB DDR5 RAM,1 TB SSD
DELL Vostro Ryzen 3 Dual Core R3,3.8,437,53,33949,50651,Processor: AMD Ryzen 3-3250U (2.60 GHz up to 3.50 GHz),RAM & Storage: 8GB DDR4 (2 DIMM Slots) & 1TB HDD,Display: 14.0" FHD WVA AG Narrow Border
ASUS Vivobook Pro 15 OLED Ryzen 7 Octa Core AMD R7,4.6,494,77,65990,88990,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,512 GB SSD
DELL Inspiron Ryzen 5 Hexa Core 5625U,0,0,0,51690,64981,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD
ASUS VivoBook 14 (2021) Celeron Dual Core,4.1,618,71,23990,33990,Intel Celeron Dual Core Processor,4 GB DDR4 RAM,256 GB SSD
ASUS Vivobook Ultra 14 (2022) Core i3 11th Gen,4.3,334,34,40990,58990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
ASUS VivoBook 15 (2022) Core i5 10th Gen,4.3,5922,510,46990,62990,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD
HP Pavilion Ryzen 5 Hexa Core 5625U,4.5,183,13,62990,72537,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,512 GB SSD
ASUS Vivobook Pro 15 Ryzen 7 Octa Core AMD R7,4.5,645,82,59990,82990,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,512 GB SSD
Lenovo IdeaPad 3 Core i3 11th Gen,4.2,159,15,34490,48490,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD
Lenovo IdeaPad 3 Core i3 11th Gen,4.2,4231,409,38700,59390,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
Lenovo IdeaPad 3 Core i3 10th Gen,4.3,705,72,34990,50290,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,256 GB SSD
MSI Core i7 11th Gen,4.4,967,98,65990,95990,Intel Core i7 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
Lenovo Core i3 11th Gen,3.8,10,0,37900,61390,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
Lenovo IdeaPad 3 Core i5 11th Gen,0,0,0,57490,80290,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,512 GB SSD
HP Ryzen 5 Hexa Core 5500U,4.3,187,17,50499,63289,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,512 GB SSD
DELL Core i5 11th Gen,4.4,47,5,67490,75826,NVIDIA RTX 3050 Graphics upto 90W TGP,15.6 inch Full HD AG Display (250 nits Brightness, 120Hz, Narrow Border),Intel Core i5 Processor (11th Gen)
APPLE 2020 Macbook Air M1,4.7,8557,770,85990,99900,Apple M1 Processor,8 GB DDR4 RAM,256 GB SSD
realme Book(Slim) Intel Evo Core i5 11th Gen,4.4,6891,925,59990,69999,Powered by 11th Gen Intel Evo Core i5 Processor,Microsoft Office 2019 Home & Student Included,Intel Core i5 Processor (11th Gen)
Lenovo IdeaPad 5 Core i5 12th Gen,0,0,0,65300,97890,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD
Lenovo IdeaPad Flex 5 Ryzen 5 Hexa Core 5500U,0,0,0,62390,95090,AMD Ryzen 5 Hexa Core Processor,16 GB LPDDR4X RAM,512 GB SSD
ASUS Core i3 10th Gen,4.8,8,0,32990,45499,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD
HP 15s Intel Core i3 12th Gen,0,0,0,45990,57970,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD
Lenovo IdeaPad Gaming 3 Core i5 12th Gen,0,0,0,78990,111190,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD
ASUS Zenbook Flip 14 OLED (2022) Touch Panel Core i5 12th Gen,4.7,3,0,89990,122990,Intel Core i5 Processor (12th Gen),16 GB LPDDR5 RAM,512 GB SSD
ASUS VivoBook Flip 14 Core i3 11th Gen,4.4,113,10,42990,66990,Intel Core i3 Processor (11th Gen),8 GB LPDDR4X RAM,256 GB SSD
realme Book (Slim) Core i3 11th Gen,4.4,12149,1825,46990,54999,Stylish & Portable Thin and Light Laptop,14 inch 2K QHD, IPS LCD Display ( 400nits peak brightness, 100% sRGB, 3:2 aspect ratio, Full Vision Display),Light Laptop without Optical Disk Drive
ASUS ZenBook Duo 14 (2021) Touch Panel Core i5 11th Gen,5,3,0,79990,140990,Intel Core i5 Processor (11th Gen),16 GB LPDDR4X RAM,512 GB SSD
DELL Ryzen 3 Quad Core 5425U,4.4,68,13,35990,50837,Processor: R3-5425U (2.70 GHz up to 4.1 GHz),RAM & Storage: 8GB DDR4 & 256GB SSD,Software: Win 11 + Office H&S 2021
DELL Vostro Core i3 11th Gen,0,0,0,43990,59782,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD
DELL Core i5 12th Gen,0,0,0,67990,95332,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD
APPLE 2022 MacBook AIR M2,4.5,28,1,139990,149900,Apple M2 Processor,8 GB Unified Memory RAM,512 GB SSD
ASUS Zenbook Flip 14 OLED (2022) Touch Panel Core i5 12th Gen,4.7,3,0,89990,122990,Intel Core i5 Processor (12th Gen),16 GB LPDDR5 RAM,512 GB SSD
DELL Core i5 12th Gen,0,0,0,60190,75649,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD
DELL Core i5 12th Gen,0,0,0,59690,80473,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD
realme Book (Slim) Core i3 11th Gen,4.4,12149,1825,46990,54999,Stylish & Portable Thin and Light Laptop,14 inch 2K QHD, IPS LCD Display ( 400nits peak brightness, 100% sRGB, 3:2 aspect ratio, Full Vision Display),Light Laptop without Optical Disk Drive
DELL Inspiron Ryzen 3 Dual Core 3250U,4.2,432,55,38190,47695,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,256 GB SSD
ASUS TUF Dash F15 Core i7 12th Gen,4.5,121,14,101990,128990,Intel Core i7 Processor (12th Gen),16 GB DDR5 RAM,1 TB SSD
ASUS VivoBook 14 (2022) Core i3 12th Gen,4.2,24,4,47990,62990,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD
DELL Core i9 12th Gen,0,0,0,151990,197449,Intel Core i9 Processor (12th Gen),16 GB DDR5 RAM,1 TB SSD
ASUS VivoBook 14 (2021) Celeron Dual Core,4.1,618,71,23990,33990,Intel Celeron Dual Core Processor,4 GB DDR4 RAM,256 GB SSD
DELL Core i5 12th Gen,0,0,0,61498,79928,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD
ASUS Vivobook 14 (2022) Core i5 12th Gen,4.8,12,3,66990,82990,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD
DELL Ryzen 3 Quad Core 5425U,4.4,68,13,35990,50837,Processor: R3-5425U (2.70 GHz up to 4.1 GHz),RAM & Storage: 8GB DDR4 & 256GB SSD,Software: Win 11 + Office H&S 2021
DELL Ryzen 3 Quad Core 5425U,4.2,33,1,41490,56834,Processor: R3-5425U (2.70 GHz up to 4.1 GHz),RAM & Storage: 8GB DDR4 & 512GB SSD,Software: Win 11 + Office H&S 2021
Lenovo IdeaPad 1 Ryzen 3 Dual Core 3250U,4.2,709,71,35017,54490,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,512 GB SSD
Infinix INBook X1 Neo Series Celeron Quad Core,4.2,637,110,20990,29990,Intel Celeron Quad Core Processor,4 GB LPDDR4X RAM,128 GB SSD
ASUS TUF Gaming A15 Ryzen 5 Hexa Core AMD R5,4.5,224,23,65990,75990,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,1 TB SSD
Lenovo IdeaPad 3 Core i3 11th Gen,4.3,743,60,36000,60890,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD
RedmiBook Pro Core i5 11th Gen,4.1,3416,410,44999,59999,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
DELL Core i5 12th Gen,0,0,0,75225,98252,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD
ASUS ROG Strix G15 (2022) Ryzen 7 Octa Core AMD R7,4.6,77,17,98980,142990,AMD Ryzen 7 Octa Core Processor,16 GB DDR5 RAM,1 TB SSD
DELL Vostro Core i3 10th Gen,4,201,30,41990,54783,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD
DELL Vostro Core i3 11th Gen,0,0,0,43990,59782,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD
DELL Core i5 12th Gen,0,0,0,67990,95332,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD
DELL Ryzen 3 Quad Core 5425U,4.2,33,1,41490,56834,Processor: R3-5425U (2.70 GHz up to 4.1 GHz),RAM & Storage: 8GB DDR4 & 512GB SSD,Software: Win 11 + Office H&S 2021
ASUS VivoBook Flip 14 Core i3 11th Gen,4.4,113,10,44990,63990,Intel Core i3 Processor (11th Gen),8 GB LPDDR4X RAM,256 GB SSD
ASUS Vivobook 15 OLED (2022) Core i5 12th Gen,0,0,0,68990,85990,Get unparalleled power and reliability with the new Intel 12th Gen CPU,15.6 Inch Full HD OLED 16:9 aspect ratio, 0.2ms response time, 600nits HDR peak brightness, 100% DCI-P3 color gamut, VESA CERTIFIED Display HDR True Black 600, 1.07 billion colors, PANTONE Validated, Glossy display, 70% less harmful blue light, TUV Rheinland-certified,Light Laptop without Optical Disk Drive
